aflægss,aflægs's
afsidess,afsides's
aftenkursuss,aftenkursus's
agerhønss,agerhøns's
aidsviruss,aidsvirus's
aktieindekss,aktieindeks's
aktieindicess,aktieindices's
aktionsradiuss,aktionsradius's
alaa,Ala'a
allerhelvedess,allerhelvedes's
alskenss,alskens's
amanuensiss,amanuensis's
andenhåndss,andenhånds's
andenklassess,andenklasses's
andenrangss,andenrangs's
anderledess,anderledes's
aproposs,apropos's
apsiss,apsis's
armekorpss,armekorps's
armékorpss,armékorps's
backupen,backup'en
bagbordss,bagbords's
baglænss,baglæns's
basiss,basis's
beachpartiess,beachparties's
bearnaisesovss,bearnaisesovs's
bechamelsovss,bechamelsovs's
begynderkursuss,begynderkursus's
bermudashortss,bermudashorts's
beskærersakss,beskærersaks's
beskæresakss,beskæresaks's
blishønss,blishøns's
bloomss,blooms's
boksershortss,boksershorts's
boxershortss,boxershorts's
bramgæss,bramgæs's
bramgåss,bramgås's
breakss,breaks's
brevkursuss,brevkursus's
broderesakss,broderesaks's
brodersakss,brodersaks's
brydningsindekss,brydningsindeks's
brydningsindicess,brydningsindices's
brændeglass,brændeglas's
brændglass,brændglas's
burhønss,burhøns's
bådepladss,bådeplads's
bådpladss,bådplads's
canadagæss,canadagæs's
canadagåss,canadagås's
cariess,caries's
cerberuss,cerberus's
charmekursuss,charmekursus's
charmss,charms's
chipss,chips's
cinderss,cinders's
cirruss,cirrus's
cityshortss,cityshorts's
clematiss,clematis's
clipss,clips's
cocktailpartiess,cocktailparties's
cognacsglass,cognacsglas's
coituss,coitus's
cornflakess,cornflakes's
cowboyshortss,cowboyshorts's
cpuen,cpu'en
cpuens,cpu'ens
cpuer,cpu'er
cpuerne,cpu'erne
cpuernes,cpu'ernes
cpuers,cpu'ers
cpus,cpu's
croquiss,croquis's
cykelshortss,cykelshorts's
cykluss,cyklus's
dagligdagss,dagligdags's
dekanuss,dekanus's
deltidss,deltids's
designerdrugss,designerdrugs's
digtcykluss,digtcyklus's
dominionss,dominions's
dosiss,dosis's
dragss,drags's
drugss,drugs's
dværghønss,dværghøns's
dødsenss,dødsens's
efterfødselskursuss,efterfødselskursus's
emerituss,emeritus's
emnekursuss,emnekursus's
enetagess,enetages's
enfamiliehuss,enfamiliehus's
enfamilieshuss,enfamilieshus's
enkeltfagskursuss,enkeltfagskursus's
enss,ens's
envejss,envejs's
etværelsess,etværelses's
etårss,etårs's
evergreenss,evergreens's
factss,facts's
familiekursuss,familiekursus's
fandenss,fandens's
fanss,fans's
fasanhønss,fasanhøns's
fascess,fasces's
femdørss,femdørs's
femetagerss,femetagers's
femetagess,femetages's
femogtyveårss,femogtyveårs's
femværelserss,femværelsers's
femværelsess,femværelses's
femårss,femårs's
firedørss,firedørs's
fireetagerss,fireetagers's
fireetagess,fireetages's
firepersonerss,firepersoners's
firetagerss,firetagers's
firetagess,firetages's
fireværelserss,fireværelsers's
fireværelsess,fireværelses's
fireårss,fireårs's
firpersonerss,firpersoners's
firværelserss,firværelsers's
firværelsess,firværelses's
firårss,firårs's
fittingss,fittings's
fleretagerss,fleretagers's
fleretagess,fleretages's
fodnuss,fodnus's
folkenss,folkens's
fondss,fonds's
forberedelseskursuss,forberedelseskursus's
fordumss,fordums's
forgævess,forgæves's
forkursuss,forkursus's
forlodss,forlods's
forlænss,forlæns's
franskkursuss,franskkursus's
fuldblodss,fuldblods's
fuldtidss,fuldtids's
fyrreårss,fyrreårs's
fæcess,fæces's
fælless,fælles's
følesløss,følesløs's
førstehåndss,førstehånds's
førsteklassess,førsteklasses's
førsterangss,førsterangs's
gagss,gags's
gallonss,gallons's
gammeldagss,gammeldags's
gardenpartiess,gardenparties's
genesiss,genesis's
geniuss,genius's
genuss,genus's
glatførekursuss,glatførekursus's
globuss,globus's
glædeløss,glædeløs's
gratiss,gratis's
grundkursuss,grundkursus's
grågæss,grågæs's
grågåss,grågås's
gæss,gæs's
gåss,gås's
halvblodss,halvblods's
halvdagss,halvdags's
halvtidss,halvtids's
halvtredsårss,halvtredsårs's
halvårss,halvårs's
handelskursuss,handelskursus's
heldagss,heldags's
heltidss,heltids's
helvedess,helvedes's
helårss,helårs's
herrenss,herrens's
hfer,hf'er
hfkursuss,hfkursus's
hinsidess,hinsides's
hintss,hints's
hivviruss,hivvirus's
hjertenss,hjertens's
hollandaisesovss,hollandaisesovs's
homunculuss,homunculus's
honoratioress,honoratiores's
hotpantss,hotpants's
housewarmingpartiess,housewarmingparties's
hulenss,hulens's
hækkesakss,hækkesaks's
hæksakss,hæksaks's
højskolekursuss,højskolekursus's
hønss,høns's
indbyrdess,indbyrdes's
indekss,indeks's
indenbordss,indenbords's
indenbyss,indenbys's
indendørss,indendørs's
indenrigss,indenrigs's
indenskærss,indenskærs's
indicess,indices's
indvortess,indvortes's
inspirationskursuss,inspirationskursus's
internatkursuss,internatkursus's
introduktionskursuss,introduktionskursus's
introkursuss,introkursus's
itemss,items's
iværksætterkursuss,iværksætterkursus's
jalouxs,jaloux's
jamsessionss,jamsessions's
jeanss,jeans's
jenss,jens's
jernladiess,jernladies's
jobsøgningskursuss,jobsøgningskursus's
julegæss,julegæs's
julegåss,julegås's
kaffeslabberadss,kaffeslabberads's
kaffeslabberass,kaffeslabberas's
kannevass,kannevas's
kanvass,kanvas's
kapelmusikuss,kapelmusikus's
kariess,karies's
kasuss,kasus's
katekismuss,katekismus's
kerbeross,kerberos's
klematiss,klematis's
klipss,klips's
kloss,klos's
knickerss,knickers's
knittelverss,knittelvers's
knortegæss,knortegæs's
knortegåss,knortegås's
knyttelverss,knyttelvers's
kommissariuss,kommissarius's
kommunikationskursuss,kommunikationskursus's
konjaksglass,konjaksglas's
konkurss,konkurs's
kropluss,kroplus's
kropsluss,kropslus's
kursuss,kursus's
kustoss,kustos's
ladiess,ladies's
landhønss,landhøns's
landværtss,landværts's
langskibss,langskibs's
lathyruss,lathyrus's
latyruss,latyrus's
leddeløss,leddeløs's
lederkursuss,lederkursus's
liggehønss,liggehøns's
livscykluss,livscyklus's
loss,los's
luksuriøss,luksuriøs's
lumberjacketss,lumberjackets's
lynkursuss,lynkursus's
lænss,læns's
læsekursuss,læsekursus's
løgnehals,løgnehals'
majschipss,majschips's
managementkursuss,managementkursus's
mariehønss,mariehøns's
mellembyss,mellembys's
mensess,menses's
menstruationscykluss,menstruationscyklus's
merkonomkursuss,merkonomkursus's
messiass,messias's
miless,miles's
moduss,modus's
mortensgæss,mortensgæs's
mortensgåss,mortensgås's
musikuss,musikus's
niårss,niårs's
nordenfjordss,nordenfjords's
nuntiuss,nuntius's
nuss,nus's
nymodenss,nymodens's
nyttesløss,nyttesløs's
nådesløss,nådesløs's
oddss,odds's
officialss,officials's
oldboyss,oldboys's
omgæss,omgæs's
omgåss,omgås's
ottetimerss,ottetimers's
otteårss,otteårs's
ouncess,ounces's
overdosiss,overdosis's
overlevelseskursuss,overlevelseskursus's
partiess,parties's
pegasuss,pegasus's
pejlekompass,pejlekompas's
pejlkompass,pejlkompas's
pelletss,pellets's
penalhuss,penalhus's
pennalhuss,pennalhus's
perlehønss,perlehøns's
pickless,pickles's
pjatgæss,pjatgæs's
pjatgåss,pjatgås's
pjattegæss,pjattegæs's
pjattegåss,pjattegås's
plusfourss,plusfours's
pokkerss,pokkers's
polioviruss,poliovirus's
pommesfritess,pommesfrites's
pontificess,pontifices's
praktikuss,praktikus's
preciøss,preciøs's
pretiøss,pretiøs's
præcedenss,præcedens's
præsess,præses's
puttehønss,puttehøns's
radiospotss,radiospots's
radiuss,radius's
ramen,ram'en
ramene,ram'ene
ramenes,ram'enes
rastepladss,rasteplads's
rastpladss,rastplads's
reklamespotss,reklamespots's
rembourss,rembours's
remburss,remburs's
remiss,remis's
repetitionskursuss,repetitionskursus's
reverss,revers's
rituss,ritus's
romancykluss,romancyklus's
royaltiess,royalties's
rumskødss,rumskøds's
rørhønss,rørhøns's
samariterkursuss,samariterkursus's
sangcykluss,sangcyklus's
satanss,satans's
schweizerfrancss,schweizerfrancs's
seksårss,seksårs's
sensikursuss,sensikursus's
shortss,shorts's
sidelænss,sidelæns's
sideværtss,sideværts's
singelss,singels's
sinuss,sinus's
skejss,skejs's
skrukhønss,skrukhøns's
skrupelløss,skrupelløs's
skruppelløss,skruppelløs's
slackss,slacks's
slapstickss,slapsticks's
småjobss,småjobs's
snapseglass,snapseglas's
snapsglass,snapsglas's
snavss,snavs's
snegæss,snegæs's
snegåss,snegås's
societiess,societies's
sommerkursuss,sommerkursus's
spareribss,spareribs's
sprogkursuss,sprogkursus's
stakkelss,stakkels's
standinss,standins's
standss,stands's
stillss,stills's
stimuluss,stimulus's
stockcarss,stockcars's
strabadss,strabads's
studenterkursuss,studenterkursus's
studss,studs's
stutss,stuts's
styrbordss,styrbords's
suppehønss,suppehøns's
suppleringskursuss,suppleringskursus's
surprisepartiess,surpriseparties's
svejtserfrancss,svejtserfrancs's
sweepstakess,sweepstakes's
sykursuss,sykursus's
synopsiss,synopsis's
syvårss,syvårs's
sædgæss,sædgæs's
sædgåss,sædgås's
sørenss,sørens's
søværtss,søværts's
talerkursuss,talerkursus's
tamgæss,tamgæs's
tamgåss,tamgås's
tamhønss,tamhøns's
tegnekursuss,tegnekursus's
tempuss,tempus's
terminuss,terminus's
tesiss,tesis's
ticss,tics's
tiebreakss,tiebreaks's
tiårss,tiårs's
todagess,todages's
toetagershuss,toetagershus's
toetagerss,toetagers's
toetageshuss,toetageshus's
toetagess,toetages's
tofamiliehuss,tofamiliehus's
tofamiliershuss,tofamiliershus's
tofamilieshuss,tofamilieshus's
tolvårss,tolvårs's
topersonerss,topersoners's
toværelserss,toværelsers's
toværelsess,toværelses's
toårss,toårs's
trediveårss,trediveårs's
tredjerangss,tredjerangs's
tredveårss,tredveårs's
tredørss,tredørs's
treetagerss,treetagers's
treetagess,treetages's
trefagss,trefags's
tremandss,tremands's
trepersonerss,trepersoners's
trerumss,trerums's
tretommerss,tretommers's
tretrinss,tretrins's
trevejss,trevejs's
treværelserss,treværelsers's
treværelsess,treværelses's
treårss,treårs's
tvspotss,tvspots's
udenbyss,udenbys's
udendørss,udendørs's
udenomss,udenoms's
udenrigss,udenrigs's
udensognss,udensogns's
udenøss,udenøs's
udvortess,udvortes's
uenss,uens's
undervandss,undervands's
urhønss,urhøns's
ususs,usus's
utilpass,utilpas's
vandhønss,vandhøns's
vaniljeiss,vaniljeis's
vaniljekranss,vaniljekrans's
vanilleiss,vanilleis's
vanillekranss,vanillekrans's
veltilpass,veltilpas's
vendelbokursuss,vendelbokursus's
venderadiuss,venderadius's
vildgæss,vildgæs's
vildgåss,vildgås's
vipen,VIP'en
vipen,VIP'en
viper,VIP'er
viper,VIP'er
viperne,VIP'erne
vipernes,VIP'ernes
vipers,VIP'ers
viruss,virus's
vorteviruss,vortevirus's
værkstedskursuss,værkstedskursus's
whiskerss,whiskers's
øreclipss,øreclips's
øreklipss,øreklips's
ået,å'et
åets,å'ets
