alcunaltra,alcun'altra
allincontrario,all'incontrario
altranno,altr'anno
anchegli,anch'egli
anchegli,anch'Egli
anchegli,Anch'egli
anchegli,Anch'Egli
anchella,anch'ella
anchella,anch'Ella
anchessa,anch'essa
anchessa,anch'Essa
anchessa,Anch'essa
anchessa,Anch'Essa
anchesse,anch'esse
anchessi,anch'essi
anchessi,anch'Essi
anchessi,Anch'essi
anchessi,Anch'Essi
anchesso,anch'esso
anchesso,Anch'esso
anchio,anch'io
anchio,anch'Io
anchio,Anch'io
bravemigrante,brav'emigrante
bravemigrata,brav'emigrata
bravemigrato,brav'emigrato
bravimmigrata,brav'immigrata
bravimmigrato,brav'immigrato
bravintervistato,brav'intervistato
bravintervistato,Brav'intervistato
buonaggiustata,buon'aggiustata
buonandata,buon'andata
buonemigrante,buon'emigrante
buonemigrata,buon'emigrata
buonevoluta,buon'evoluta
buonibrida,buon'ibrida
buonimmigrata,buon'immigrata
caccese,c'accese
candassi,c'andassi
capparse,c'apparse
cappese,c'appese
castellalfero,Castell'Alfero
castellarquato,Castell'Arquato
castellazzara,Castell'Azzara
cattese,c'attese
cavvarremmo,c'avvarremmo
cavvarremo,c'avvarremo
centanni,cent'anni
cescluse,c'escluse
cesporrebbe,c'esporrebbe
cespresse,c'espresse
cespulse,c'espulse
cespulsero,c'espulsero
cestinse,c'estinse
ch,ch'
chebbe,ch'ebbe
chegli,ch'egli
chegli,Ch'egli
chegli,Ch'Egli
chella,ch'ella
chella,Ch'Ella
chera,ch'era
cherano,ch'erano
chero,ch'ero
chio,ch'io
ciascunaltalena,ciascun'altalena
cilluse,c'illuse
cimmerse,c'immerse
cimmersero,c'immersero
cimmusoniamo,c'immusoniamo
cimmusonimmo,c'immusonimmo
cimmusoniremmo,c'immusoniremmo
cimmusoniremo,c'immusoniremo
cimmusonissimo,c'immusonissimo
cimmusonivamo,c'immusonivamo
cimpresse,c'impresse
cincise,c'incise
cincluse,c'incluse
cincussero,c'incussero
cinducano,c'inducano
cinducemmo,c'inducemmo
cinducessero,c'inducessero
cinducessimo,c'inducessimo
cinduceste,c'induceste
cinducete,c'inducete
cinducevamo,c'inducevamo
cinducevate,c'inducevate
cinducevi,c'inducevi
cinduciamo,c'induciamo
cinduciate,c'induciate
cinfisse,c'infisse
cinfissero,c'infissero
cinfuse,c'infuse
cinfusero,c'infusero
cinterpunse,c'interpunse
cinterpunsero,c'interpunsero
cintese,c'intese
cintratterr,c'intratterr
cintratterrai,c'intratterrai
cintratterremmo,c'intratterremmo
cintratterremo,c'intratterremo
cintratterreste,c'intratterreste
cintratterresti,c'intratterresti
cintratterrete,c'intratterrete
cintrise,c'intrise
cinvolse,c'involse
cinvolsero,c'involsero
cirrise,c'irrise
co,co'
coccorse,c'occorse
coccorsero,c'occorsero
com,com'
comera,com'era
comerano,com'erano
comeravamo,com'eravamo
comeravate,com'eravate
comeri,com'eri
comero,com'ero
comha,com'ha
comho,com'ho
cosaltro,cos'altro
cosaveva,cos'aveva
cosavevano,cos'avevano
cosavrebbe,cos'avrebbe
cos,cos'
cosera,cos'era
coserano,cos'erano
coseravamo,cos'eravamo
coseravate,cos'eravate
coseri,cos'eri
cosero,cos'ero
cosha,cos'ha
coshai,cos'hai
cosho,cos'ho
cuccise,c'uccise
daffari,d'affari
dalcun,d'alcun
dalm,d'Alm
daltri,d'altri
daltronde,d'altronde
danelli,d'anelli
dapi,d'api
darchi,d'archi
dlite,d'lite
devesserci,dev'esserci
devessere,dev'essere
devesserle,dev'esserle
devesservi,dev'esservi
diciottanni,diciott'anni
didee,d'idee
dimagna,d'Imagna
dintelvi,d'Intelvi
dintere,d'intere
docchi,d'occhi
dogna,d'Ogna
dolmi,d'Olmi
dore,d'ore
dorgani,d'organi
dossola,d'Ossola
dov,dov'
dovera,dov'era
doverano,dov'erano
doveravamo,dov'eravamo
doveravate,dov'eravate
dovero,dov'ero
dumori,d'umori
glielabbiamo,gliel'abbiamo
glielaprissero,gliel'aprissero
glielavete,gliel'avete
glielaveva,gliel'aveva
glielavevano,gliel'avevano
glielavrebbero,gliel'avrebbero
glielha,gliel'ha
glielhai,gliel'hai
glielhanno,gliel'hanno
glielho,gliel'ho
grandessere,grand'Essere
granduomo,grand'uomo
granduomo,grand'Uomo
granduomo,Grand'Uomo
labrasi,l'abrasi
laccese,l'accese
laccesi,l'accesi
laccluse,l'accluse
lacclusi,l'acclusi
lacetosi,l'acetosi
laltranno,l'altr'anno
lannesse,l'annesse
lappese,l'appese
lappesi,l'appesi
lapprese,l'apprese
lappresi,l'appresi
lasperse,l'asperse
lattese,l'attese
lattesi,l'attesi
lautosospesi,l'autosospesi
lavresti,l'avresti
leffuse,l'effuse
leffusero,l'effusero
leffusi,l'effusi
leffuso,l'effuso
lelessi,l'elessi
lelise,l'elise
lelisero,l'elisero
lelisi,l'elisi
llite,l'lite
leluse,l'eluse
lelusi,l'elusi
lequivarrai,l'equivarrai
lequivarrebero,l'equivarrebero
lequivarrei,l'equivarrei
lequivarremmo,l'equivarremmo
lequivarremo,l'equivarremo
lequivarrete,l'equivarrete
lerose,l'erose
lerosi,l'erosi
lersero,l'ersero
lersi,l'ersi
lescluse,l'escluse
lesclusi,l'esclusi
lescussero,l'escussero
lescussi,l'escussi
lespanse,l'espanse
lespansero,l'espansero
lespilsero,l'espilsero
lesplose,l'esplose
lesplosi,l'esplosi
lespulse,l'espulse
lespulsi,l'espulsi
lestese,l'estese
lestinse,l'estinse
lestinsi,l'estinsi
lhan,l'han
lilluse,l'illuse
lillusi,l'illusi
limmerse,l'immerse
limmersero,l'immersero
limpresse,l'impresse
limpressi,l'impressi
lincise,l'incise
lincisi,l'incisi
lincluse,l'incluse
linclusi,l'inclusi
lincusse,l'incusse
lincussi,l'incussi
lindulsero,l'indulsero
lindulsi,l'indulsi
linfisse,l'infisse
linfissero,l'infissero
linfuse,l'infuse
linfusero,l'infusero
linfusi,l'infusi
linterpunse,l'interpunse
linterpunsero,l'interpunsero
linterpunsi,l'interpunsi
lintese,l'intese
lintesi,l'intesi
lintraprese,l'intraprese
lintrapresi,l'intrapresi
lintrattenni,l'intrattenni
lintratterr,l'intratterr
lintratterrai,l'intratterrai
lintratterrei,l'intratterrei
lintratterremmo,l'intratterremmo
lintratterremo,l'intratterremo
lintratterreste,l'intratterreste
lintratterresti,l'intratterresti
lintratterrete,l'intratterrete
lintratterr,l'intratterr
lintrise,l'intrise
lintrisi,l'intrisi
linvolse,l'involse
linvolsero,l'involsero
linvolsi,l'involsi
lirrise,l'irrise
lirrisi,l'irrisi
lisignisci,l'isignisci
loccluse,l'occluse
locclusi,l'occlusi
loffese,l'offese
loffesi,l'offesi
loppresse,l'oppresse
loppressi,l'oppressi
luccise,l'uccise
maccese,m'accese
maccorsi,m'accorsi
mapparse,m'apparse
mappese,m'appese
marresi,m'arresi
mattese,m'attese
mautosospesi,m'autosospesi
mavresti,m'avresti
mavvalsi,m'avvalsi
mavvarrei,m'avvarrei
mersi,m'ersi
mescluse,m'escluse
mesponessi,m'esponessi
mesponevo,m'esponevo
mesporrebbe,m'esporrebbe
mespresse,m'espresse
mespressi,m'espressi
mespulse,m'espulse
mespulsero,m'espulsero
mestinse,m'estinse
mestinsi,m'estinsi
mezzacqua,mezz'acqua
mezzaria,mezz'aria
mezzasta,mezz'asta
mezzet,mezz'et
mezzoretta,mezz'oretta
mha,m'ha
mhai,m'hai
mhanno,m'hanno
milluse,m'illuse
millusi,m'illusi
mimmerse,m'immerse
mimmersero,m'immersero
mimmusinii,m'immusinii
mimmusonirei,m'immusonirei
mimmusonir,m'immusonir
mimmusonisca,m'immusonisca
mimmusonisco,m'immusonisco
mimmusonissi,m'immusonissi
mimmusonivo,m'immusonivo
mimpresse,m'impresse
mimpressi,m'impressi
mincise,m'incise
mincisi,m'incisi
mincluse,m'incluse
mincussero,m'incussero
mincussi,m'incussi
minducano,m'inducano
minducessero,m'inducessero
minduceste,m'induceste
minducete,m'inducete
minducevate,m'inducevate
minducevi,m'inducevi
minducevo,m'inducevo
minduciate,m'induciate
minduco,m'induco
minfisse,m'infisse
minfissero,m'infissero
minfuse,m'infuse
minfusero,m'infusero
minfusi,m'infusi
minterpunsero,m'interpunsero
minterpunsi,m'interpunsi
mintese,m'intese
mintesi,m'intesi
mintrattengo,m'intrattengo
mintrattenni,m'intrattenni
mintratterr,m'intratterr
mintratterrei,m'intratterrei
mintratterreste,m'intratterreste
mintratterresti,m'intratterresti
mintratterrete,m'intratterrete
mintratterr,m'intratterr
mintrise,m'intrise
minvolse,m'involse
minvolsero,m'involsero
minvolsi,m'involsi
miponete,m'iponete
mirrise,m'irrise
moccluse,m'occluse
moccorse,m'occorse
moccorsero,m'occorsero
moffese,m'offese
mopprese,m'opprese
muccise,m'uccise
naccese,n'accese
napparse,n'apparse
nappese,n'appese
napprese,n'apprese
nastraemmo,n'astraemmo
nastraeste,n'astraeste
nastraesti,n'astraesti
nastraeva,n'astraeva
nastraevamo,n'astraevamo
nastraevate,n'astraevate
nastraevi,n'astraevi
nastraevo,n'astraevo
nattese,n'attese
neanchegli,neanch'egli
neanchegli,neanch'Egli
neanchegli,Neanch'Egli
neanchella,neanch'ella
neanchella,neanch'Ella
neanchella,Neanch'ella
neanchella,Neanch'Ella
neanchessa,neanch'essa
neanchio,neanch'io
neanchio,neanch'Io
neanchio,Neanch'Io
neffondemmo,n'effondemmo
neffondeste,n'effondeste
neffondesti,n'effondesti
neffondete,n'effondete
neffondiamo,n'effondiamo
neffuse,n'effuse
neffusero,n'effusero
neffusi,n'effusi
nelesse,n'elesse
nelessi,n'elessi
nelise,n'elise
nemerse,n'emerse
nequivarrete,n'equivarrete
neruppero,n'eruppero
neruppi,n'eruppi
nescluse,n'escluse
nescussero,n'escussero
nespanse,n'espanse
nesponessi,n'esponessi
nesponevo,n'esponevo
nesporrebbe,n'esporrebbe
nespresse,n'espresse
nespulse,n'espulse
nessunaltra,nessun'altra
nessunindagine,nessun'indagine
nestese,n'estese
nestinse,n'estinse
nestinsi,n'estinsi
nevase,n'evase
nientaltro,nient'altro
nilluse,n'illuse
nimmerse,n'immerse
nimpresse,n'impresse
nincise,n'incise
nincluse,n'incluse
ninfisse,n'infisse
ninfuse,n'infuse
nintese,n'intese
nintraprese,n'intraprese
nintrise,n'intrise
nirrise,n'irrise
noccluse,n'occluse
noccorse,n'occorse
noccorsero,n'occorsero
noffese,n'offese
noppresse,n'oppresse
nuccise,n'uccise
nullaltro,null'altro
nussunaltra,nussun'altra
ognaltra,ogn'altra
ottantanni,ottant'anni
pocanzi,poc'anzi
primordine,prim'ordine
qualcosaltro,qualcos'altro
qualcosaltro,Qualcos'Altro
qualcunaltra,qualcun'altra
qualcunaltra,Qualcun'Altra
qualera,qual'era
quandanche,quand'anche
quand,quand'
quandecco,quand'ecco
quandegli,quand'egli
quandegli,quand'Egli
quandella,quand'ella
quandera,quand'era
quanderano,quand'erano
quanderavamo,quand'eravamo
quanderavate,quand'eravate
quanderi,quand'eri
quandero,quand'ero
quandessa,quand'essa
quandessa,quand'Essa
quandessi,quand'essi
quandessi,quand'Essi
quandesso,quand'esso
quandesso,quand'Esso
quandio,quand'io
quandio,quand'Io
quantaltro,quant'altro
quant,quant'
quantera,quant'era
quanterano,quant'erano
quanteravate,quant'eravate
quanteri,quant'eri
quantero,quant'ero
saccese,s'accese
saccorse,s'accorse
saddice,s'addice
saddicesse,s'addicesse
saddiceva,s'addiceva
saddir,s'addir
saddirebbe,s'addirebbe
saddisse,s'addisse
santagnello,Sant'Agnello
santarcangelo,Sant'Arcangelo
santarpino,Sant'Arpino
santolcese,Sant'Olcese
santuomo,sant'uomo
santurbano,Sant'Urbano
sappese,s'appese
sarrese,s'arrese
sattese,s'attese
sautoescluse,s'autoescluse
sautosospese,s'autosospese
savvalse,s'avvalse
secondordine,second'ordine
segli,s'egli
senzacqua,senz'acqua
senzacqua,senz'Acqua
senzacqua,Senz'Acqua
senzalcun,senz'alcun
senzalcuna,senz'alcuna
senzaltra,senz'altra
senzaltro,senz'altro
senzaltro,Senz'Altro
senzanima,senz'anima
senzanima,senz'Anima
senzanima,Senz'Anima
senzanimo,senz'animo
senzaria,senz'aria
senzarmi,senz'armi
senzarte,senz'arte
senzombra,senz'ombra
sersero,s'ersero
sescluse,s'escluse
sespanse,s'espanse
sesporrebbe,s'esporrebbe
sespulse,s'espulse
silluse,s'illuse
simmerse,s'immerse
simmersero,s'immersero
simmuson,s'immuson
simmusonir,s'immusonir
simmusoniranno,s'immusoniranno
simmusonirebbe,s'immusonirebbe
simmusonirebbero,s'immusonirebbero
simmusonirono,s'immusonirono
simmusonisca,s'immusonisca
simmusonisce,s'immusonisce
simmusoniscono,s'immusoniscono
simmusonisse,s'immusonisse
simmusonissero,s'immusonissero
simmusoniva,s'immusoniva
simmusonivano,s'immusonivano
simpresse,s'impresse
sincise,s'incise
sincluse,s'incluse
sinducano,s'inducano
sinducessero,s'inducessero
sindulsero,s'indulsero
sinfisse,s'infisse
sinfissero,s'infissero
sinfranse,s'infranse
sinfransero,s'infransero
sinfuse,s'infuse
sinterpunse,s'interpunse
sinterruppero,s'interruppero
sintese,s'intese
sintrattennero,s'intrattennero
sintratterr,s'intratterr
sintravide,s'intravide
sintravidero,s'intravidero
sintrise,s'intrise
sintromise,s'intromise
sinvolse,s'involse
sinvolsero,s'involsero
soccluse,s'occluse
soffese,s'offese
soppone,s'oppone
sopposero,s'opposero
sottacqua,sott'acqua
succise,s'uccise
taccese,t'accese
tant,tant'
tantera,tant'era
tapparse,t'apparse
tappese,t'appese
tavvaresti,t'avvaresti
tavvedevi,t'avvedevi
tavvedi,t'avvedi
tesca,t'esca
tescluse,t'escluse
tesporrebbe,t'esporrebbe
tespresse,t'espresse
tespressi,t'espressi
tespulse,t'espulse
tespulsero,t'espulsero
testinse,t'estinse
testinsi,t'estinsi
tha,t'ha
thanno,t'hanno
tho,t'ho
tilluse,t'illuse
tillusi,t'illusi
timmerse,t'immerse
timmersero,t'immersero
timmunosivi,t'immunosivi
timmusonirai,t'immusonirai
timmusoniresti,t'immusoniresti
timmusonisca,t'immusonisca
timmusonisci,t'immusonisci
timmusonissi,t'immusonissi
timmusonisti,t'immusonisti
timpresse,t'impresse
tincise,t'incise
tincluse,t'incluse
tincussero,t'incussero
tincussi,t'incussi
tinducano,t'inducano
tinducevamo,t'inducevamo
tinducevi,t'inducevi
tinducevo,t'inducevo
tinduciamo,t'induciamo
tinduco,t'induco
tinfisse,t'infisse
tinfissero,t'infissero
tinfuse,t'infuse
tinfusero,t'infusero
tinfusi,t'infusi
tinterpunse,t'interpunse
tinterpunsero,t'interpunsero
tinterpunsi,t'interpunsi
tintese,t'intese
tintesi,t'intesi
tintrattengo,t'intrattengo
tintrattenni,t'intrattenni
tintratter,t'intratter
tintratterrai,t'intratterrai
tintratterrei,t'intratterrei
tintratterremmo,t'intratterremmo
tintratterremo,t'intratterremo
tintratterresti,t'intratterresti
tintratterr,t'intratterr
tintrise,t'intrise
tinvolse,t'involse
tinvolsero,t'involsero
tinvolsi,t'involsi
tirrise,t'irrise
toccluse,t'occluse
toccorse,t'occorse
toccorsero,t'occorsero
toffese,t'offese
toppresse,t'oppresse
tuccise,t'uccise
tuttal,tutt'al
tuttaltro,tutt'altro
tuttattorno,tutt'attorno
tuttintera,tutt'intera
tuttintero,tutt'intero
tuttintorno,tutt'intorno
tuttocchi,tutt'occhi
tuttoggi,tutt'oggi
tuttorecchi,tutt'orecchi
tuttuna,tutt'una
tuttuno,tutt'uno
ultimora,ultim'ora
unaccendente,un'accendente
unaccertante,un'accertante
unaccertata,un'accertata
unaccetta,un'accetta
unaccettante,un'accettante
unaccigliante,un'accigliante
unaccigliata,un'accigliata
unacconciante,un'acconciante
unacconciata,un'acconciata
unaccorciata,un'accorciata
unaccudente,un'accudente
unaccudita,un'accudita
unacidula,un'acidula
unacidulante,un'acidulante
unaddestrante,un'addestrante
unaddirizzante,un'addirizzante
unaddirizzata,un'addirizzata
unaddolcente,un'addolcente
unaddolcita,un'addolcita
unaddolorata,un'addolorata
unaddottrinante,un'addottrinante
unaddottrinata,un'addottrinata
unadducente,un'adducente
unadirata,un'adirata
unadornante,un'adornante
unadornata,un'adornata
unaffannata,un'affannata
unaffissante,un'affissante
unaffissata,un'affissata
unaffliggente,un'affliggente
unaggiustante,un'aggiustante
unaggiustata,un'aggiustata
unaggottante,un'aggottante
unaggregante,un'aggregante
unagguantante,un'agguantante
unala,un'ala
unaltalena,un'altalena
unaltalenante,un'altalenante
unammenda,un'ammenda
unanalizzante,un'analizzante
unanalizzata,un'analizzata
unandata,un'andata
unannerente,un'annerente
unannichilente,un'annichilente
unanteponente,un'anteponente
unappartante,un'appartante
unappartata,un'appartata
unappassente,un'appassente
unappassita,un'appassita
unapponente,un'apponente
unarena,un'arena
unarrestante,un'arrestante
unarrestata,un'arrestata
unarricchente,un'arricchente
unarringa,un'arringa
unarticolante,un'articolante
unascendente,un'ascendente
unascia,un'ascia
unascrivente,un'ascrivente
unaspirante,un'aspirante
unaspirata,un'aspirata
unassediante,un'assediante
unassediata,un'assediata
unassegnante,un'assegnante
unassegnata,un'assegnata
unassiderante,un'assiderante
unassiderata,un'assiderata
unassonante,un'assonante
unassuefatta,un'assuefatta
unastraente,un'astraente
unastrale,un'astrale
unatrofizzante,un'atrofizzante
unattillata,un'attillata
unattorcente,un'attorcente
unattraente,un'attraente
unaugurante,un'augurante
unaugurata,un'augurata
unautoaccusa,un'autoaccusa
unautolimitata,un'autolimitata
unautoproclamata,un'autoproclamata
unautoriducente,un'autoriducente
unavaria,un'avaria
unavvalente,un'avvalente
unavvertente,un'avvertente
unavvertita,un'avvertita
unavvisante,un'avvisante
unavvisata,un'avvisata
unavvistante,un'avvistante
unavvistata,un'avvistata
unazzimante,un'azzimante
unazzimata,un'azzimata
uneffeminata,un'effeminata
unelemosina,un'elemosina
unelevata,un'elevata
unlite,un'lite
unelogiata,un'elogiata
unemancipata,un'emancipata
unemettente,un'emettente
unemigrante,un'emigrante
unemigrata,un'emigrata
unenergizzante,un'energizzante
unerodente,un'erodente
unerotizzante,un'erotizzante
unerrata,un'errata
unesasperata,un'esasperata
unesaudente,un'esaudente
unespletata,un'espletata
unesplicante,un'esplicante
unesplicata,un'esplicata
unesponente,un'esponente
unesportante,un'esportante
unespressa,un'espressa
unestraente,un'estraente
unesuberante,un'esuberante
unesuberata,un'esuberata
unetichetta,un'etichetta
unevoluta,un'evoluta
unibrida,un'ibrida
unibridante,un'ibridante
unillanguidente,un'illanguidente
unilludente,un'illudente
unimmane,un'immane
unimmergente,un'immergente
unimmigrata,un'immigrata
unimmischiante,un'immischiante
unimmischiata,un'immischiata
unimmiserente,un'immiserente
unimpermeabilizzante,un'impermeabilizzante
unimpermeabilizzata,un'impermeabilizzata
unimponente,un'imponente
unimportuna,un'importuna
unincenerente,un'incenerente
unincubante,un'incubante
uninculcante,un'inculcante
unincuneante,un'incuneante
unindebita,un'indebita
unindebitante,un'indebitante
unindignante,un'indignante
uninducente,un'inducente
unindustrializzante,un'industrializzante
uninfagottante,un'infagottante
uninfamante,un'infamante
uninfangante,un'infangante
uninfarcente,un'infarcente
uninfarinante,un'infarinante
uninfastidente,un'infastidente
uninfatuante,un'infatuante
uninfierente,un'infierente
uninfinocchiante,un'infinocchiante
uninfinocchiata,un'infinocchiata
uninfrapponente,un'infrapponente
uninfuocata,un'infuocata
uningemmante,un'ingemmante
uningiuria,un'ingiuria
uninsabbiante,un'insabbiante
uninsabbiata,un'insabbiata
uninsaccante,un'insaccante
uninsaccata,un'insaccata
uninsacchettante,un'insacchettante
uninsacchettata,un'insacchettata
uninsalivata,un'insalivata
uninsanguante,un'insanguante
uninsanguata,un'insanguata
uninsanguinante,un'insanguinante
uninsanguinata,un'insanguinata
uninsaponante,un'insaponante
uninsaponata,un'insaponata
uninsidia,un'insidia
uninsolfante,un'insolfante
uninsolfata,un'insolfata
unintelaiata,un'intelaiata
uninterponente,un'interponente
unintima,un'intima
unintrigante,un'intrigante
unintrigata,un'intrigata
unintrinseca,un'intrinseca
unintroducente,un'introducente
uninviante,un'inviante
uninvidiante,un'invidiante
uninvigilante,un'invigilante
uninviluppante,un'inviluppante
uninvischiante,un'invischiante
uninvoluta,un'involuta
uninzolfante,un'inzolfante
uninzolfata,un'inzolfata
unipoteca,un'ipoteca
unobbligata,un'obbligata
unofficiata,un'officiata
unoffrente,un'offrente
unoperante,un'operante
unoperata,un'operata
unorecchia,un'orecchia
unormai,un'ormai
unoscura,un'oscura
unoscurante,un'oscurante
unoscurata,un'oscurata
unosservante,un'osservante
unosservata,un'osservata
unottemperante,un'ottemperante
unottenuta,un'ottenuta
unovvia,un'ovvia
ununiversalizzante,un'universalizzante
ununiversalizzata,un'universalizzata
vaccese,v'accese
vandassi,v'andassi
vapparse,v'apparse
vappese,v'appese
vattese,v'attese
vavvarreste,v'avvarreste
vavvarrete,v'avvarrete
ventanni,vent'anni
vescluse,v'escluse
vesporrebbe,v'esporrebbe
vespresse,v'espresse
vespressi,v'espressi
vespulse,v'espulse
vespulsero,v'espulsero
vestinse,v'estinse
vestinsi,v'estinsi
vho,v'ho
villuse,v'illuse
vimmerse,v'immerse
vimmersero,v'immersero
vimmusonate,v'immusonate
vimmusonireste,v'immusonireste
vimmusonirete,v'immusonirete
vimmusoniste,v'immusoniste
vimmusonivate,v'immusonivate
vimpresse,v'impresse
vincise,v'incise
vincluse,v'incluse
vincussero,v'incussero
vincussi,v'incussi
vinducano,v'inducano
vinducemmo,v'inducemmo
vinducessero,v'inducessero
vinducessimo,v'inducessimo
vinduceste,v'induceste
vinducete,v'inducete
vinducevamo,v'inducevamo
vinducevate,v'inducevate
vinducevo,v'inducevo
vinduciamo,v'induciamo
vinduciate,v'induciate
vinduco,v'induco
vinfisse,v'infisse
vinfissero,v'infissero
vinfuse,v'infuse
vinfusero,v'infusero
vinfusi,v'infusi
vinterpunsero,v'interpunsero
vinterpunsi,v'interpunsi
vintese,v'intese
vintesi,v'intesi
vintrattengo,v'intrattengo
vintrattenni,v'intrattenni
vintratterr,v'intratterr
vintratterrei,v'intratterrei
vintratterremmo,v'intratterremmo
vintratterremo,v'intratterremo
vintratterreste,v'intratterreste
vintratterrete,v'intratterrete
vintratterr,v'intratterr
vintrise,v'intrise
vinvolse,v'involse
vinvolsero,v'involsero
vinvolsi,v'involsi
virrise,v'irrise
voccluse,v'occluse
voccorse,v'occorse
voccorsero,v'occorsero
voffese,v'offese
voppresse,v'oppresse
vuccise,v'uccise
